old,speaker
"あのね――
森の、わたしの大好きな場所に
魔物が集まっているみたいなの
荒らされたら悲しいから退治してくれる？",Mayleaf
"覚者さんなら、きっと簡単だと思うな
お願い！",Mayleaf
"あのね――
森の、わたしの大好きな場所に
魔物が集まっているみたいなの
荒らされたら切ないから退治してくれる？",Mayleaf
"覚者さんなら、きっと簡単だと思うな
ううん、ちょっと大変かも
でも、お願い！",Mayleaf
"あのね――
森の、わたしの大好きな場所に
魔物が集まっているみたいなの
荒らされたら悔しいから退治してくれる？",Mayleaf
"覚者さんなら、きっと簡単だと思うな
ううん、ちょっと大変かも
どうかな――すっごく大変だったらごめんさない
でも、お願い！",Mayleaf
"退治してくれたの！？
ありがとう！
お願いをきいてくれて、とってもうれしいよ",Mayleaf
"退治してくれたの！？
ありがとう！
お願いをきいてくれて、とってもうれしいよ",Mayleaf
きっと森も喜んでいると思うな,Mayleaf
"退治してくれたの！？
ありがとう！
お願いをきいてくれて、とってもうれしいよ",Mayleaf
きっと森も喜んでいると思うな,Mayleaf
"ううん、森だけじゃなくて――
森の動物たちもねっ！",Mayleaf
"覚者さん、お願い――
森を助けてね",Mayleaf
