old,speaker
"いいところに来てくれた――
手を貸して欲しい",Vanessa
"物見の報告によると、砦北部の各地に
多数、魔物の群れが現れたらしい",Vanessa
"奴らが大挙して砦に向かってくると
対処は困難を極めるだろう――
そうならないためにも先手を打って
各個撃破せねばならない",Vanessa
頼む、急いで向かってくれ！,Vanessa
"いいところに来てくれた――
手を貸して欲しい",Vanessa
"物見の報告によると、砦北部の各地に
多数の、魔物の群れが現れたらしい",Vanessa
"奴らが大挙して砦に向かってくると
対処は困難を極めるだろう――
そうならないためにも先手を打って
各個撃破せねばならない",Vanessa
頼む、急いで向かってくれ！,Vanessa
"いいところに来てくれた――
手を貸して欲しい",Vanessa
"物見の報告によると、砦北部の各地に
多数の、魔物の群れが現れたらしい",Vanessa
"すでに幾人かの精鋭を送り込んではみたが
残念ながら被害が増すばかりだ",Vanessa
"このままではこの砦は打ち破られ
神殿すら蹂躙されかねない
よって、奴らが大挙して向かってくる前に
先手を打って各個撃破するしかない！",Vanessa
頼む、急いで向かってくれ！,Vanessa
無事だったか！,Vanessa
"報告は聞いている
さすがレオに見込まれただけはあるな",Vanessa
ありがとう――助かった,Vanessa
無事だったか！,Vanessa
"おまえの実力は知っているが
今回ばかりは分が悪いと思っていた
しかし、見くびっていたようだ",Vanessa
"すまなかった――そして、ありがとう
おまえを見つけたレオがうらやましいよ",Vanessa
良くぞ生きて戻ってきてくれた――,Vanessa
"報告は聞いている――
砦と神殿の窮地を救ってくれて感謝する",Vanessa
"おまえの実力は知っているが
今回ばかりは分が悪いと思っていた
しかし、見くびっていたようだ",Vanessa
"おまえの奮闘を見れば、誰もが心に
希望を持つことができるだろう
これからもよろしくたのむぞ",Vanessa
どの群れからでもいい、確実に殲滅してくれ,Vanessa
