old,speaker
"く――
俺としたことが――",Sven
"実は、つい油断して、魔物を倒すどころか
逃げ帰ってくるような
失態を演じてしまったんだ――",Sven
"日頃の鍛錬からくる慢心が
あったんだろうな――",Sven
"なあ、俺が始末できなかった魔物を
代わりに倒してきてくれないか――",Sven
"俺はやられてしまったが
お前なら、倒れずに戻ってこられるはずだ
魔物を始末したら、ここに集合してくれ――",Sven
"正直、悔しくて胸が張り裂けそうだが――
こんなことを頼めるのはお前くらいしかいない",Sven
"俺はやられてしまったが
お前なら、倒れずに戻ってこられるだろう？
魔物を始末したら、ここに集合だ――
頼んだぞ",Sven
"お前に頼んで正解だったよ――
期待以上の成果だ",Sven
"今度一緒に稽古をつけないか？
競い合う相手がいるのは大切だと思うぞ",Sven
"これなんだが、お前のために
上等な報酬を用意してみたんだ
足しにしてほしい",Sven
一定の成果は出してくれたようだな,Sven
"だが――
お前ならもっとできると思っていたんだが
どうした？　鍛錬不足か？",Sven
"お礼は、一応用意しておいた
つまらんもんだが、欲しければ受け取ってくれ",Sven
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
