old,speaker,english,speaker,english,speaker
"ふはははは、見たまえ
この辺りの古木は、実に素晴らしい！",August,,August,,August
"――何が、だと？
決まっておる！",August,,August,,August
"茸や香草など、様々な食材を育む
偉大な依り代となっておるではないか",August,,August,,August
"という訳で、お前には調査をしてもらおう
木の様子を調べ、異常があれば報告するのだ
しかと頼んだぞ",August,,August,,August
"ふはははは、さても驚きだ
この辺りの古木は、実に素晴らしい！",August,,August,,August
"――何が、だと？
決まっておる！",August,,August,,August
"茸や香草など、様々な食材を育む
偉大な依り代となっておるではないか",August,,August,,August
"という訳で、お前には調査をしてもらおう
木の様子を調べ、異常があれば報告するのだ
しかと頼んだぞ",August,,August,,August
"ふはははは、さても信じられん
この辺りの古木は、実に、実に素晴らしい！",August,,August,,August
"――何が、だと？
決まっておる！",August,,August,,August
"茸や香草など、様々な食材を育む
偉大な依り代となっておるではないか",August,,August,,August
"という訳で、お前には調査をしてもらおう
木の様子を調べ、異常があれば報告するのだ
しかと頼んだぞ",August,,August,,August
ふーむ、なるほど、状況は把握した,August,,August,,August
"後は私に任せておくがよい
少しでも改善してみせよう",August,,August,,August
"なんと、なるほど、状況は把握した
物心ついた時から美食を追い求めてきた私だ",August,,August,,August
"後は任せておくがよい
さっそく改善してみせよう",August,,August,,August
ほほう、なるほど、状況は把握した,August,,August,,August
"レスタニア随一の食通を自負する私だ
新たな食の発見とその保護は
多くの人を幸せにするものだ",August,,August,,August
"後は任せておくがよい
必ず改善してみせよう",August,,August,,August
"まさか森の中で
迷ったりしていないだろうな？",August,,August,,August
