old,speaker
"覚者様、近辺にて暴れている魔物の討伐を
お願いできないでしょうか",Dian
"私はこの祠を守らなければなりません
貴方様が引き受けてくだされば
誠に心強い限りでございます――",Dian
"貴方様がお倒れになれば
魔物はこの祠を次なる標的とするでしょう
どうか弱みを見せぬよう、倒れることなく
魔物を討伐していただきたいのです",Dian
"お礼の品をご用意しておりますので
討伐後はぜひこの祠へお集まりください
覚者様のご武運をお祈りしております――",Dian
敵との戦闘で一度も死亡状態になりませんでした,The White Dragon
依頼者からの報酬が多くなります,The White Dragon
パーティメンバーが死亡状態になりました,The White Dragon
依頼者からの報酬が下がります,The White Dragon
"万が一、貴方様がお倒れになれば
魔物はこの祠を次なる標的とするでしょう
どうか弱みを見せぬよう、倒れることなく
魔物を討伐してくださるようご留意ください",Dian
"また、お礼の品をご用意しておりますので
討伐後はぜひこの祠へお集まりください
覚者様のご武運をお祈りしております――",Dian
"鮮やかなるご活躍――
流石の一言でございます",Dian
"私にできる最大限を尽くしたお礼の品を
ご用意いたしました
どうかお納めください",Dian
覚者様のご助力、感謝いたします――,Dian
"ですが完全な問題解決には
至っていないようです――
今回は気持ちばかりのお礼をさせていただきます",Dian
