old,,speaker,english,speaker,english,speaker
"こんにちは、覚者さん
あの――ええと――","Hello, Ser Arisen.
Um... well...",Mayleaf,,Mayleaf,,Mayleaf
"ここじゃジョゼフおじさまの
目が光っていて――","Here, Joseph's eyes are shining...",Mayleaf,,Mayleaf,,Mayleaf
"《テラス》に来てください！
お願いします！","Please come to the Terrace! 
If you would be so kind!",Mayleaf,,Mayleaf,,Mayleaf
"《テラス》でお話ししたいんです
お願いします！",I'd like to talk to you on 《Terrace》please!,Mayleaf,,Mayleaf,,Mayleaf
"メイリーフがすっかりなついたようだな
まあ、よろしく頼む","Mayleaf seems to have taken a liking, huh.
Well, I'm counting on you.",Joseph,,Joseph,,Joseph
"すっかりレオさんの片腕だね
いろんな情報が入ると思うけど――
僕にも流してくれるとうれしいよ","You've become Ser Leo's right hand, huh?
I think a lot of information will come in, but...
I'd be happy if you could share it with me too.",Klaus,,Klaus,,Klaus
"白竜様の眠りは今日もお深く――
竜力の回復、さぞ進むことでしょう","Lord White Dragon's slumber is once again 
deep today - 
Surely the recovery of Dragon Force progresses.",Mysial,,Mysial,,Mysial
"ええと――
わたし、また森へ行きたくて――",Um... I want to go back to the forest again...,Mayleaf,,Mayleaf,,Mayleaf
"ミスリウの森の奥深くに
大切な場所があるの","Deep within the forest of Mysree,
there is a precious place.",Mayleaf,,Mayleaf,,Mayleaf
"でも、ちょっと怖いから
見張りをお願いしたくて――","But, because I'm a little scared,
I want to ask for someone to stand guard...",Mayleaf,,Mayleaf,,Mayleaf
"ううん、送ってくれなくてもいいの
きっとわたしの方が早く着くから
ミスリウの森の奥の、お墓で待ってるね","No, you don't have to escort me.
I'm sure I'll get there faster on my own.
I'll wait at the tomb deep in the Mysree Forest.",Mayleaf,,Mayleaf,,Mayleaf
"メイリーフがソワソワしているんです
また何か企んでいるのかも――","Mayleaf seems restless.
Perhaps she is plotting something again...",Pamela,,Pamela,,Pamela
"メイリーフ！？
メイリーフをお見かけしませんでしたか？","Mayleaf!?
Have you seen Mayleaf around?",Pamela,,Pamela,,Pamela
"あのね――
お友達に贈る、お花が欲しいんだ
覚者さん、探してくれる？","You know...
I want a flower to give to my friend.
Will you help me find one, Ser Arisen?",Mayleaf,,Mayleaf,,Mayleaf
"わたしったら、お花を忘れてくるなんて――
覚者さん、どこに咲いてるかな？","Oh, I forgot to bring the flowers... 
Do you know where they're blooming, Ser Arisen?",Mayleaf,,Mayleaf,,Mayleaf
"わあ、ありがとう！
あなたにお願いして良かった！","Wow, thank you!
I'm glad I asked you!",Mayleaf,,Mayleaf,,Mayleaf
ジョゼフおじさまにバレてないよね？,"Uncle Joseph doesn't know, does he?",Mayleaf,,Mayleaf,,Mayleaf
"もう、メイリーフったら――
姿が見えないと、叱られるのはわたしなのに――","Oh, Mayleaf! 
If she's not around, 
I'm the one who gets in trouble.",Pamela,,Pamela,,Pamela
"メイリーフがいなくなったとパメラが――
ああ、戻ったのですね？　安心しました","Mayleaf is gone and Pamela... 
Ah, you've returned? I'm relieved.",Mysial,,Mysial,,Mysial
"メイリーフはどこかに閉じ込めた方が
いいんじゃないかな
あ、冗談だよ、冗談！","I think Mayleaf should be locked up somewhere...

Oh, I'm kidding, I'm kidding!",Klaus,,Klaus,,Klaus
メイリーフが世話になったな,Mayleaf took care of you.,Joseph,,Joseph,,Joseph
"おそらくすでに
知っているだろうが――","You probably already know this, but...",Joseph,,Joseph,,Joseph
"あの子の正体は
他言しないでくれ","The true identity of that child.
Please don't speak about it to others.",Joseph,,Joseph,,Joseph
"誰が知っていて
誰が知らないのか――",Who knows and who doesn't--,Joseph,,Joseph,,Joseph
その詮索もしてはならない,You must not pry into such matters.,Joseph,,Joseph,,Joseph
"いいな
メイリーフのためだ","Good. 
It's for Mayleaf.",Joseph,,Joseph,,Joseph
頼んだぞ,I'm asking you.,Joseph,,Joseph,,Joseph
