Jp,En,speaker,english,speaker,english,speaker
【ヒント：クラン新情報】,【Hint: New Info about Clans】,Kibiza,,Kibiza,,Kibiza
"《クラン》に関する新しいクエストが
受注可能になりました",New Clan-related quests are now available!,Kibiza,,Kibiza,,Kibiza
《クラン酒場》にいるキビザに話しかけましょう,Talk to Kibiza in the 'Clan Tavern'.,Kibiza,,Kibiza,,Kibiza
"キビザの《クラン酒場》へ再びようこそ！
クランは無事加入してみたかい？","Welcome back to Kibiza's 'Clan Tavern'! 
Did you manage to join a clan?",Kibiza,,Kibiza,,Kibiza
"だったら、《クラン》ライフがより充実する
さらなる機能について
ちょっと説明させてもらおうかな","If so, let me explain some additional 
features to enhance your 'Clan' life.",Kibiza,,Kibiza,,Kibiza
"なんと、酒場にこなくても
ゲームメニューからも《クラン》に簡単に
加入できるんだ！","You can now easily join a 'Clan' from 
the Game Menu without visiting the tavern!",Kibiza,,Kibiza,,Kibiza
"なに、知ってる？
知っててもいいから聞いてくれ","What, you knew? 
Even if you did, hear me out.",Kibiza,,Kibiza,,Kibiza
"まずはゲームメニューの《パーティー》から
《クラン管理》を探し《クラン検索》を
してみてほしい","Start by going to Party in the game
menu. Find Clan Management and
try Clan Search from there.",Kibiza,,Kibiza,,Kibiza
"まずはゲームメニューの《パーティー》から
《クラン管理》を探し《クラン検索》を
してみてほしい","Start by going to Party in the game
menu. Find Clan Management and
try Clan Search from there.",Kibiza,,Kibiza,,Kibiza
"なに、知ってる？
まぁそう言わず
知っててもいいからやってみてくれよ","What, you knew? 
Come on, don't say that. 
Even if you do, just give it a try.",Kibiza,,Kibiza,,Kibiza
"な、便利だろう？
クランにはこのとおり、いつどこからでも
参加できるから、ぜひ利用してくれ","See how convenient it is? 
You can join a clan anytime, 
anywhere, so make use of it.",Kibiza,,Kibiza,,Kibiza
"ただ、紹介したい機能はこれだけじゃ
ないんだ！","But these aren't the only features
I want to tell you about!",Kibiza,,Kibiza,,Kibiza
"つぎにゲームメニューの《ワールド》から
《エリアリスト》を確認してみてくれ","Next, go to World in the game menu 
and check Area List.",Kibiza,,Kibiza,,Kibiza
"どこを確認したらいいだって？
ゲームメニューの《ワールド》から
《エリアリスト》を確認してみてくれ","Where to check? Go to 'World' in the Game Menu 
and look at the 'Area List'.",Kibiza,,Kibiza,,Kibiza
"確認できたかい？
実は《クラン》に入ると、メンバーみんなで
稼いだエリアポイントの累計によって
支援品に追加ボーナスが貰えるんだ！","See it alright? So, if you join a Clan, 
you get bonus items added to your support goods
based on the total Area Points everyone earns!",Kibiza,,Kibiza,,Kibiza
"すごいだろ！
地道に各エリアマスター達に直談判して
支援品に色をつけてもらえるよう
頼んできたんだよ","Awesome, isn't it?!
I worked hard, talking directly to each
Area Master, to get better support items!",Kibiza,,Kibiza,,Kibiza
"まだクランに入ってないなら
《クラン設立》をするか、参加申請して
クランに入るだけで
恩恵を得ることができる！","If you aren't in a clan, try to
Found a clan or apply to join.
You'll get benefits just by joining up!",Kibiza,,Kibiza,,Kibiza
"ぜひ気楽にクランに参加してみてくれよ
説明は以上！
考えるより、まずはやってみることさ","Yeah, join a clan, no pressure!
That's it for the explanation.
Just jump in and try it, don't overthink it.",Kibiza,,Kibiza,,Kibiza
