Jp,En,speaker,english,speaker,english,speaker
"よう、ダンジョンの宝箱調査は続けているか？
また新しい場所の調査依頼があるんだが
例に漏れず、前回よりも難易度が上がっている","Hey, still hitting those dungeon chests?
Got a new location for you to scout—
and like always, it's tougher than last time.",Isaac,,Isaac,,Isaac
"腕に自信が無ければ、力を蓄えてからにしろ
キャンセルしたければ《クエスト破棄》で
いつでも無かったことにしてもいいんだ","If you lack confidence, build up your
strength first. The Cancel Quest
option lets you wipe the slate
clean anytime.",Isaac,,Isaac,,Isaac
"なに、俺も依頼も逃げやしない
何事にもタイミングってのがあるからな
もちろん、それを見極めるのはお前自身だ","Don't worry, I won't withdraw the
request. Everything has its proper
time—and judging that moment
is your call to make.",Isaac,,Isaac,,Isaac
"やることは前回と同じで、最奥の宝箱の調査だ
もうお決まりのパターンになってるから
お前も薄々予感してただろ？","What you need to do is the same as last time: 
investigate the treasure chest in the deepest part. 
It's become such a routine by now, 
you probably had a hunch, right?",Isaac,,Isaac,,Isaac
"今回の調査地候補は
魔赤島の《滝鳴洞穴》
　　　　《菌糸の襲窟》
ディナンにある《飛天のテラス》","The candidate sites for this investigation are
Bloodbane Isle's 
Waterfall Echo Cavern & Fungal Colony Caves
and Deenan's Heavenly Terrace",Isaac,,Isaac,,Isaac
"ダウにある《見捨てられた井戸》
メルゴダにある《秘匿の実験場》
この５ヶ所だ","The Forsaken Well in Dowe, 
and the Secret Proving Ground in Mergoda.
These are the five locations.",Isaac,,Isaac,,Isaac
"ここでは前回の３ヶ所よりも、よりランクの高い
素材が採れるって噂だぜ
当然、魔物もそれなりの強さだが、な","Rumor has it these yield higher-rank materials
than the previous three locations. Of course,
the enemies match that strength, but hey.",Isaac,,Isaac,,Isaac
"５ヶ所のうち、１ヶ所の宝箱を調査できたら
俺のところに報告にきてくれ","When you've checked one of the 
five treasure chests, come report back to me.",Isaac,,Isaac,,Isaac
"いいか、もう一度説明するぞ
これからいう５ヶ所ある調査地候補の中から
１ヶ所を選んで最奥の宝箱を調べてこい","Listen, I'll explain again. From the five
survey candidates I'll mention, choose one
and investigate its deepest chest.",Isaac,,Isaac,,Isaac
"魔赤島の《滝鳴洞穴》
　　　　《菌糸の襲窟》
ディナンにある《飛天のテラス》","Bloodbane Isle's Waterfall Echo Cavern
and Fungal Colony Caves, 
and Deenan's Heavenly Terrace.",Isaac,,Isaac,,Isaac
"ダウにある《見捨てられた井戸》
メルゴダにある《秘匿の実験場》
この５ヶ所だ","The Forsaken Well in Dowe, 
and the Secret Proving Ground in Mergoda.
These are the five locations.",Isaac,,Isaac,,Isaac
"ここでは前回の３ヶ所よりも、よりランクの高い
素材が採れるって噂だぜ
当然、魔物もそれなりの強さだが、な","Rumor has it these yield higher-rank materials
than the previous three locations. Of course,
the enemies match that strength, but hey.",Isaac,,Isaac,,Isaac
"５ヶ所のうち、１ヶ所の宝箱を調査できたら
俺のところに報告にきてくれ","When you've checked one of the 
five treasure chests, come report back to me.",Isaac,,Isaac,,Isaac
"平然と任務を達成してくるようになったな
その度胸が肝心なんだ
いい目をするようになってきた――","Mission success comes easily now.
That unshakable nerve is key—
your combat sense is evolving.",Isaac,,Isaac,,Isaac
"《スポット情報》を見れば
どのダンジョンにどの素材があるかを
確認できるのは――もう覚えたな？","You can check which dungeon has which
materials in Spot Info—you've already
memorized that, right?",Isaac,,Isaac,,Isaac
"今までダンジョンに潜り続けた成果は
経験値として、もしくは装備品となって
お前の糧になっているはずだ","The time you've spent delving dungeons
has borne fruit—whether in experience
or newfound gear, it's all fueled
your growth.",Isaac,,Isaac,,Isaac
"腕試しとして
エクストリームミッションは最適かもな
気が向いたら参戦してみるといい","Extreme Missions might be perfect
for testing your skills. You should
join if you feel like it.",Isaac,,Isaac,,Isaac
