Jp,En,speaker,english,speaker,english,speaker
"よお！　聞いてるぜ
ファイターになって
がんがん活躍してるそうじゃないか！","Hey! Rumors have reached my ear!
You're a Fighter now and really
making waves, aren't you!",Renton,,Renton,,Renton
"――そこで
ファイター道を、さらに究めたいっていうなら
ぜひあんたに紹介したい人がいるんだ","Well, if you want to further master
the way of the Fighter, there's someone
I'd like to introduce you to.",Renton,,Renton,,Renton
"あんたも良く知ってる
《グリッテン砦》のヴァネッサ副隊長さ","You know her well—
Vice Captain Vanessa of Gritten Fort.",Renton,,Renton,,Renton
"訓練官としてあんたに依頼だ
ファイターのジョブマスター
ヴァネッサ副隊長に会ってくれ","As the training officer, I have a request for you.
Meet with Vice Captain Vanessa, 
the Fighter Job Master.",Renton,,Renton,,Renton
"あの人から技術を学べば絶対に
もっとすごい剣士になるはずだよ
だから、必ず会ってくれよな！","You'll become an amazing combatant
if you learn from her, for sure!
So go and meet her, you hear?!",Renton,,Renton,,Renton
そこから先はあんた次第だけどさ,"From there, it's up to you.",Renton,,Renton,,Renton
"どうだ？　ほら、あの件――
《グリッテン砦》のヴァネッサ副隊長に会うんだぞ？","So? You'll go to Gritten Fort
and meet Vice Captain Vanessa, right?",Renton,,Renton,,Renton
"あんたがレスタニア一の
ファイターになったら
俺も訓練官として鼻が高いよ！　ハハッ","When you're the top Fighter in Lestania,
I'll be bursting with pride as your trainer! Hah!",Renton,,Renton,,Renton
"ほう――
何かと思えば訓練官からの紹介か","Oh...?
So you're here by trainer's recommendation.",Vanessa,,Vanessa,,Vanessa
"いいだろう、お前がファイターとして
どれほどのものか見定めてやる","Very well.
I'll see for myself what kind of Fighter you are.",Vanessa,,Vanessa,,Vanessa
"その意思があるなら
《ジョブマスター》の件で
私に話しかけるがいい","If your intentions are true,
then speak to me about the Job Master matter.",Vanessa,,Vanessa,,Vanessa
